Krajská přehlídka scénického tance (čas upřesní)|-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-#Join with Google Meet: https://meet.google.com/cbo-saaz-swb##Learn more about Meet at: https://support.google.com/a/users/answer/9282720##Please do not edit this section.#-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-|576853200|576871200|1|2sihcm64pgkvrdo8
Hamlet národní divadlo||577562400|577566000|1|74o68c9o6gp3ab9m
Literatura žije?||577591200|578196000|1|chi3aopl6di3ebb3
Folklór tance?||578145600|578149200|1|corj0cj2chi3eb9l
Přehlídky dětských folklorních souborů (upřesní čas)|-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-#Join with Google Meet: https://meet.google.com/fjt-gtch-rbp##Learn more about Meet at: https://support.google.com/a/users/answer/9282720##Please do not edit this section.#-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-|578149200|578167200|1|20bilusqe6j3glal
Natáčení rašelina?||578282400|578368800|1|6orm2dr164sj6bb3
Podat daňové přiznání||578401200|578404800|1|3gmba6u04b2ni3l4
Nastavit platbu nového životního pojištění||578485800|578489400|1|6sqjaopgckq64b9g
Focení burleska tábor?||579031200|579034800|1|6hgmcdj168r3gb9p
Zaplatit parkování!||579085200|579088800|1|65gm6e9j6lh3ibb4
Mooneight žižkárna :D||579816000|579819600|1|chij2ophc4sjebb1
Natáčení ZUŠ?||580152600|580166100|1|6krm2pj56dj36b9m
Open stage burleska fotos? Čas se upřesní||581108400|581112000|1|c4sjcp33clhjab9k
Voda?||586872000|587307600|1|cphm2or669gjib9l
